Spieler,,Verein,Pos.,Mio.,PI,DN,PI V.,DN V.,
,Palacios,Nürnberg,STU,"0,6",,,0,,merken

,Teigl,Augsburg,MIT,"0,6",,,0,,merken

,Nukan,Leipzig,ABW,"0,6",,,,,merken

,Kammerbauer,Freiburg,MIT,"0,6",,,0,,merken

,Käuper,Bremen,MIT,"0,6",,,0,"3,5",merken

,Seguin,Wolfsburg,MIT,"0,6",,,0,,merken

,Fuchs,Nürnberg,MIT,"0,6",,,,,merken

,Maina,Hannover,MIT,"0,6",,,2,,merken

,Doucouré,Gladbach,ABW,"0,6",,,0,,merken

,Kliment,Stuttgart,STU,"0,6",,,,,merken

,Mayer,Gladbach,ABW,"0,6",,,1,,merken

,Kujovic,Düsseldorf,STU,"0,6",,,,,merken

,Osimhen,Wolfsburg,STU,"0,6",,,1,"4,7",merken

,Hoogma,Hoffenheim,ABW,"0,6",,,0,,merken

,Dardai,Hertha,MIT,"0,6",,,2,,merken

,Borrello,Freiburg,STU,"0,6",,,,,merken

,Gomez,Dortmund,MIT,"0,6",,,2,,merken

,Kamada,Frankfurt,MIT,"0,6",,,-5,"4,8",merken

,Hinds,Wolfsburg,STU,"0,6",,,-4,"5,0",merken

,Riether,Schalke,ABW,"0,5",,,0,,merken

,Callsen-Bracker,Augsburg,ABW,"0,5",,,0,,merken

,Meyer,Stuttgart,TOR,"0,5",,,0,,merken

,Petsos,Bremen,MIT,"0,5",,,0,,merken

,Stanko,Freiburg,MIT,"0,5",,,5,"3,8",merken

,Nübel,Schalke,TOR,"0,5",,,5,"2,5",merken

,"Eggest., J.",Bremen,STU,"0,5",,,1,"5,0",merken

,Bech,Hannover,MIT,"0,5",,,0,,merken

,Rexhbecaj,Wolfsburg,MIT,"0,5",,,-1,"5,0",merken

,Jäger,Nürnberg,MIT,"0,5",,,,,merken

,Onisiwo,Mainz,MIT,"0,5",,,-4,"5,3",merken

,Gueye,Hannover,STU,"0,5",,,,,merken

,Lovren,Düsseldorf,MIT,"0,5",,,,,merken

,Jastrzembski,Hertha,MIT,"0,5",,,,,merken

,Weydandt,Hannover,STU,"0,5",,,,,merken

,Müsel,Gladbach,MIT,"0,5",,,,,merken

,Sargent,Bremen,STU,"0,5",,,,,merken

,Jacobsen,Bremen,ABW,"0,4",,,0,,merken

,Burnic,Dortmund,MIT,"0,4",,,0,"4,0",merken

,José Rodriguez,Mainz,MIT,"0,4",,,0,,merken

,Zetterer,Bremen,TOR,"0,4",,,0,,merken

,Gül,Düsseldorf,ABW,"0,4",,,,,merken

,Kade,Hertha,MIT,"0,4",,,0,,merken

,Tillman,Nürnberg,MIT,"0,4",,,,,merken

,Azzaoui,Wolfsburg,MIT,"0,4",,,0,,merken

,Asta,Augsburg,ABW,"0,4",,,1,,merken

,Sarpei,Stuttgart,MIT,"0,4",,,0,,merken

,Janker,Augsburg,ABW,"0,3",,,-5,"6,0",merken

,Grahl,Stuttgart,TOR,"0,3",,,0,,merken

,Lucoqui,Düsseldorf,ABW,"0,3",,,,,merken

,Baak,Hertha,ABW,"0,3",,,0,,merken

,Schreck,Leverkusen,MIT,"0,3",,,0,,merken

,Beste,Bremen,ABW,"0,3",,,0,,merken

,Klinsmann,Hertha,TOR,"0,3",,,0,,merken

,Goden,Nürnberg,ABW,"0,3",,,,,merken

,Kopacz,Stuttgart,MIT,"0,3",,,,,merken

,Baumgartner,Hoffenheim,MIT,"0,3",,,0,,merken

,Klandt,Nürnberg,TOR,"0,2",,,0,,merken

,Langer,Schalke,TOR,"0,2",,,0,,merken

,Drobny,Bremen,TOR,"0,2",,,0,,merken

,Zimmermann,Frankfurt,TOR,"0,2",,,0,,merken

,Dierßen,Hannover,MIT,"0,2",,,,,merken

,Gersbeck,Hertha,TOR,"0,2",,,,,merken

,Baller,Hannover,MIT,"0,2",,,0,,merken

,Nicolas,Gladbach,TOR,"0,2",,,0,,merken

,Wiesner,Düsseldorf,TOR,"0,2",,,,,merken

,Oelschlägel,Dortmund,TOR,"0,2",,,,,merken

,Weinkauf,Hannover,TOR,"0,2",,,0,,merken

,Friede,Hertha,ABW,"0,2",,,0,,merken

,Lippert,Nürnberg,ABW,"0,2",,,,,merken

,Frommann,Freiburg,TOR,"0,2",,,,,merken

,Bähre,Hannover,MIT,"0,2",,,0,,merken

,Okoroji,Freiburg,ABW,"0,2",,,0,,merken

,Demir,Hannover,MIT,"0,2",,,0,,merken

,Menzel,Wolfsburg,TOR,"0,2",,,0,,merken

,Amade,Hoffenheim,ABW,"0,2",,,0,,merken

,Duman,Düsseldorf,MIT,"0,2",,,,,merken

,Kobel,Hoffenheim,TOR,"0,2",,,0,,merken

,Stanic,Augsburg,ABW,"0,2",,,,,merken

,Früchtl,Bayern,TOR,"0,2",,,0,,merken

,Plogmann,Bremen,TOR,"0,2",,,,,merken

,Cetin,Frankfurt,MIT,"0,2",,,,,merken

,Kabuya,E. Frankfurt,ABW,"0,2",,,,,merken

,Burkardt,Mainz,STU,"0,2",,,,,merken

,Emghames,Hannover,STU,"0,2",,,0,,merken

,Covic,Hertha,MIT,"0,2",,,0,,merken

,Kucz,Leverkusen,TOR,"0,2",,,,,merken

,Jakob,Augsburg,ABW,"0,2",,,-4,"5,0",merken

,Beyer,Gladbach,ABW,"0,2",,,0,,merken

,Froese,Düsseldorf,MIT,"0,2",,,,,merken

,Mbom,Bremen,MIT,"0,2",,,,,merken

,Mbouhom,Frankfurt,STU,"0,2",,,0,,merken

,Smarsch,Hertha,TOR,"0,2",,,0,,merken

,Kiprit,Hertha,STU,"0,2",,,,,merken

,Siadas,Düsseldorf,ABW,"0,2",,,,,merken

,Bednarczyk,Leverkusen,ABW,"0,2",,,,,merken

,Gürleyen,Mainz,ABW,"0,2",,,,,merken

,Rösch,Augsburg,MIT,"0,2",,,0,,merken

,Goller,Schalke,MIT,"0,2",,,,,merken

,Knothe,Frankfurt,ABW,"0,2",,,0,,merken

,Krahl,Leipzig,TOR,"0,2",,,,,merken

,Beyreuther,Frankfurt,ABW,"0,2",,,0,,merken

,Villalba,Gladbach,STU,"0,2",,,1,,merken

,Martins,Mainz,MIT,"0,2",,,,,merken

,Schlotterbeck,Freiburg,ABW,"0,2",,,,,merken

,Stirl,E. Frankfurt,TOR,"0,2",,,,,merken

,Cavar,Frankfurt,MIT,"0,2",,,-5,"5,0",merken
